tiempo,Theta1,Theta2
7.815,102.614959558806,-130.482845774376
7.83,102.401537764433,-130.43108067536
7.845,102.182177097662,-130.373308533948
7.86,101.95664455875,-130.30923340761
7.875,101.724676081772,-130.238526471064
7.89,101.485970920016,-130.160820330585
7.905,101.240184708497,-130.075702014654
7.92,100.986920797378,-129.982704238642
7.935,100.725719291564,-129.881294385712
7.95,100.456042996157,-129.770860415504
7.965,100.177259108613,-129.650692561926
7.98,99.8886149366313,-129.519959134525
7.995,99.5892050125887,-129.377673856531
8.01,99.2779254520535,-129.222650699056
8.025,98.9534087354598,-129.053439598149
8.04,98.6139271688802,-128.868231711441
8.055,98.257243605433,-128.664713611309
8.07,97.8803674436115,-128.439830206303
8.085,97.479125553932,-128.189370272613
8.1,97.0473274997546,-127.9071653741
8.115,96.5748779576061,-127.583292012094
8.13,96.0422750888864,-127.198877378789
8.145,95.3920629906841,-126.69944404039
8.16,94.765814421311,-126.21056710674
8.175,94.2994508236927,-125.860514223084
8.19,93.9319615501623,-125.596828953703
8.205,93.6422495604602,-125.402093420549
8.22,93.4195379413626,-125.267760669993
8.235,93.2576042000717,-125.18913293816
8.25,93.15282369645,-125.16368180204
8.265,93.1033641900061,-125.190368692351
8.28,93.1088726010553,-125.269390612663
8.295,93.1704635421948,-125.402187366879
8.31,93.2910070973117,-125.591711918255
8.325,93.475899532093,-125.843131926589
8.34,93.7349611979477,-126.165547039843
8.355,94.0880727549894,-126.577093723206
8.37,94.594289456062,-127.13142320986
8.385,95.116553002472,-127.700865956758
8.4,95.5160196292367,-128.158203626028
8.415,95.8507251567016,-128.557630995724
8.43,96.1406385566339,-128.917775509182
8.445,96.3962240540684,-129.248363197444
8.46,96.6239745363114,-129.555398755557
8.475,96.8283187639368,-129.842953702248
8.49,97.0124684907158,-130.113961168638
8.505,97.1788557010432,-130.370626142982
8.52,97.3293822649537,-130.614659602169
8.535,97.4655732814784,-130.847422191475
8.55,97.5886766318649,-131.070017388424
8.565,97.699730490465,-131.283354584652
8.58,97.7996107477474,-131.488193320016
8.595,97.8890653056824,-131.685175209585
8.61,97.9687394931593,-131.874847554136
8.625,98.0391952973786,-132.057681165961
8.64,98.1009261801373,-132.234084070223
8.655,98.154368673259,-132.404412201985
8.67,98.1999115796733,-132.568977873459
8.685,98.2379033647004,-132.728056558764
8.7,98.2686581589907,-132.881892390391
8.715,98.2924606822124,-133.030702656128
8.73,98.3095703176821,-133.174681511273
8.745,98.3202245117537,-133.314003068098
8.76,98.3246416308729,-133.448823986291
8.775,98.3230233790809,-133.579285659894
8.79,98.3155568562974,-133.705516075311
8.805,98.3024163207619,-133.82763139911
8.82,98.2837647060872,-133.945737342329
8.835,98.2597549334143,-134.059930338684
8.85,98.2305310514138,-134.170298566892
8.865,98.1962292307979,-134.276922841684
8.88,98.1569786352031,-134.379877393588
8.895,98.1129021864741,-134.479230554045
8.91,98.0641172393058,-134.575045359579
8.925,98.0107361777216,-134.667380086405
8.94,97.9528669438485,-134.756288725063
8.955,97.8906135078033,-134.841821403076
8.97,97.8240762861484,-134.924024762446
8.985,97.7533525152616,-135.002942297717
9,97.6785365850317,-135.078614659529
9.015,97.5997203375223,-135.151079927835
9.03,97.5169933345958,-135.220373858389
9.045,97.4304430979479,-135.286530105599
9.06,97.3401553245403,-135.349580424412
9.075,97.2462140800331,-135.409554853561
9.09,97.1487019724865,-135.466481882182
9.105,97.0477003083184,-135.520388601555
9.12,96.9432892322668,-135.571300843517
9.135,96.8355478528933,-135.619243306879
9.15,96.7245543549924,-135.664239673041
9.165,96.6103861001136,-135.706312711838
9.18,96.4931197162701,-135.745484378555
9.195,96.3728311777977,-135.781775902897
9.21,96.2495958762207,-135.815207870675
9.225,96.1234886828997,-135.845800298814
9.24,95.9945840041581,-135.873572704287
9.255,95.8629558295169,-135.898544167468
9.27,95.7286777736103,-135.920733390372
9.285,95.5918231123027,-135.940158750192
9.3,95.4524648134823,-135.956838348498
9.315,95.3106755629677,-135.970790056445
9.33,95.1665277859256,-135.98203155627
9.345,95.0200936641712,-135.990580379373
9.36,94.8714451496901,-135.996453941217
